name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,Season
Mark O’Mahony,FWD,Brighton,0.0,0,0,0,0,0.0,741,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,8,0,0,0,0,18,0,2120,0,1,1,0.0,0,64,304,240,45,False,0,18,2023-2024
Iliman Ndiaye,FWD,Sheffield Utd,0.0,0,0,0,0,0.0,486,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2023-12-22T20:00:00Z,0,2,0,0,0,0,18,0,982,0,1,1,0.0,0,-3,0,3,55,False,0,18,2023-2024
Elliot Thorpe,MID,Luton,0.0,0,0,0,0,0.0,337,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,15,0,0,0,0,18,0,391,0,0,1,0.0,0,-4,0,4,45,True,0,18,2023-2024
Joe Rodon,DEF,Spurs,0.0,0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,9,0,0,0,0,18,0,6624,0,1,2,0.0,0,-117,0,117,40,True,0,18,2023-2024
Jordan Ayew,MID,Crystal Palace,2.0,0,0,22,1,3.6,221,0.04,0.78,0.74,0.88,172,0,1,11.7,41.0,2023-12-21T20:00:00Z,69,5,0,0,0,0,18,0,34772,1,1,1,72.0,8,-642,1579,2221,54,True,0,18,2023-2024
Divin Mubama,FWD,West Ham,0.0,0,0,0,0,0.0,538,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,14,0,0,0,0,18,0,638967,0,0,2,0.0,0,-19170,9820,28990,43,True,0,18,2023-2024
Nathaniel Phillips,DEF,Liverpool,0.0,0,0,0,0,0.0,306,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,1,0,0,0,0,18,0,11106,0,1,1,0.0,0,-125,0,125,40,True,0,18,2023-2024
Dominik Szoboszlai,MID,Liverpool,3.3,0,0,15,0,2.8,309,0.08,0.15,0.07,0.8,174,1,0,2.5,16.0,2023-12-23T17:30:00Z,90,1,0,0,0,0,18,0,621032,1,1,1,6.0,2,-32389,7512,39901,71,True,0,18,2023-2024
Ryan Oné,MID,Sheffield Utd,-0.5,0,0,0,0,0.0,730,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2023-12-22T20:00:00Z,0,2,0,0,0,0,18,0,293,0,1,1,0.0,0,-6,21,27,45,False,0,18,2023-2024
Jordan Clark,MID,Luton,-0.4,0,0,0,0,0.0,320,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,15,0,0,0,0,18,0,560,0,0,1,0.0,0,-9,13,22,48,True,0,18,2023-2024
Elijah Campbell,DEF,Everton,0.0,0,0,0,0,0.0,761,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,18,0,0,0,0,18,0,226,0,1,2,0.0,0,93,104,11,40,False,0,18,2023-2024
