name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,Season
Nathan Redmond,MID,Southampton,1.5,0,0,3,0,0.0,403,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,1,18,0,0,0,0,1,0,5871,0,1,4,0.0,1,0,0,0,55,False,0,1,2022-2023
Junior Stanislas,MID,Bournemouth,1.1,0,0,3,0,0.0,58,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2022-08-06T14:00:00Z,1,2,0,0,0,0,1,0,9491,0,0,2,0.0,1,0,0,0,50,True,0,1,2022-2023
Armando Broja,FWD,Chelsea,2.0,0,0,3,0,0.3,150,0.0,0.0,0.0,0.0,3,0,0,2.5,5.2,2022-08-06T16:30:00Z,15,8,0,0,0,0,1,0,124903,0,1,0,19.0,1,0,0,0,55,False,0,1,2022-2023
Fabian Schär,DEF,Newcastle,2.4,0,3,43,1,14.6,366,0.0,0.0,0.0,0.0,7,0,1,10.6,66.0,2022-08-06T14:00:00Z,90,16,0,0,0,0,1,0,40132,0,0,2,25.0,15,0,0,0,45,True,0,1,2022-2023
Jonny Evans,DEF,Leicester,1.9,0,0,15,0,1.3,249,0.0,0.0,0.0,0.0,6,2,0,1.5,14.0,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,24256,0,2,2,0.0,1,0,0,0,45,True,0,1,2022-2023
Brennan Johnson,FWD,Nott'm Forest,1.3,0,0,3,0,0.9,394,0.0,0.0,0.0,0.0,7,2,0,0.6,0.0,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,0,171887,0,0,2,6.0,2,0,0,0,60,False,0,1,2022-2023
Cheick Doucouré,MID,Crystal Palace,1.1,0,0,16,0,3.8,514,0.0,0.0,0.0,0.0,1,1,0,1.0,5.8,2022-08-05T19:00:00Z,74,1,0,0,0,0,1,0,9875,0,2,0,0.0,2,0,0,0,50,True,0,1,2022-2023
Oliver Hammond,MID,Nott'm Forest,0.5,0,0,0,0,0.0,553,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,3300,0,0,2,0.0,0,0,0,0,45,False,0,1,2022-2023
Luke Cundle,MID,Wolves,1.5,0,0,0,0,0.0,485,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,11,0,0,0,0,1,0,36521,0,1,2,0.0,0,0,0,0,45,False,0,1,2022-2023
Fin Stevens,DEF,Brentford,1.0,0,0,0,0,0.0,540,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,10,0,0,0,0,1,0,15679,0,2,2,0.0,0,0,0,0,40,False,0,1,2022-2023
Brandon Austin,GK,Spurs,1.5,0,0,0,0,0.0,451,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,17,0,0,0,0,1,0,27621,0,1,4,0.0,0,0,0,0,40,True,0,1,2022-2023
Luka Milivojevic,MID,Crystal Palace,0.5,0,0,3,0,1.4,158,0.0,0.0,0.0,0.0,1,1,0,0.2,0.8,2022-08-05T19:00:00Z,15,1,0,0,0,0,1,0,54854,0,2,0,0.0,1,0,0,0,45,True,0,1,2022-2023
Wesley Fofana,DEF,Leicester,1.9,0,0,12,0,3.3,272,0.0,0.0,0.0,0.0,6,2,0,2.9,19.2,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,128115,0,2,2,6.0,1,0,0,0,45,True,0,1,2022-2023
Gianluca Scamacca,FWD,West Ham,0.3,0,0,1,0,0.7,529,0.0,0.0,0.0,0.0,10,1,0,0.1,0.0,2022-08-07T15:30:00Z,33,13,0,0,0,0,1,0,100675,0,2,0,0.0,1,0,0,0,70,True,0,1,2022-2023
Alisson Ramses Becker,GK,Liverpool,5.5,0,0,11,0,0.0,281,0.0,0.0,0.0,0.0,4,2,0,0.8,8.2,2022-08-06T11:30:00Z,90,9,0,0,0,0,1,1,1567712,0,2,2,0.0,1,0,0,0,55,False,0,1,2022-2023
Che Adams,FWD,Southampton,1.5,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,18,0,0,0,0,1,0,61566,0,1,4,0.0,0,0,0,0,65,False,0,1,2022-2023
Sam Greenwood,FWD,Leeds,0.5,0,0,4,0,0.5,237,0.0,0.0,0.0,0.0,5,0,0,2.2,0.4,2022-08-06T14:00:00Z,17,20,0,0,0,0,1,0,1895580,0,1,2,21.0,1,0,0,0,45,True,0,1,2022-2023
Nathaniel Chalobah,MID,Fulham,0.0,0,0,0,0,0.0,203,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,12,0,0,0,0,1,0,12756,0,2,2,0.0,0,0,0,0,45,True,0,1,2022-2023
Nathaniel Phillips,DEF,Liverpool,2.5,0,0,0,0,0.0,501,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,19157,0,2,2,0.0,0,0,0,0,40,False,0,1,2022-2023
Loïc Mbe Soh,DEF,Nott'm Forest,1.4,0,0,0,0,0.0,393,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,3761,0,0,2,0.0,0,0,0,0,45,False,0,1,2022-2023
Jason Steele,GK,Brighton,0.5,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,14,0,0,0,0,1,0,75605,0,2,1,0.0,0,0,0,0,40,False,0,1,2022-2023
Tosin Adarabioyo,DEF,Fulham,0.4,0,0,11,0,0.4,209,0.0,0.0,0.0,0.0,4,2,0,1.9,18.4,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,5971,0,2,2,0.0,1,0,0,0,45,True,0,1,2022-2023
Kalvin Phillips,MID,Man City,2.6,0,0,3,0,0.5,325,0.0,0.0,0.0,0.0,10,0,0,0.1,0.6,2022-08-07T15:30:00Z,1,19,0,0,0,0,1,0,45423,0,2,0,0.0,1,0,0,0,50,False,0,1,2022-2023
Carlos Ribeiro Dias,MID,Nott'm Forest,0.5,0,0,0,0,0.0,383,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,42723,0,0,2,0.0,0,0,0,0,45,False,0,1,2022-2023
Marek Rodák,GK,Fulham,0.7,0,0,11,0,0.0,213,0.0,0.0,0.0,0.0,4,2,0,1.0,10.2,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,1,12206,0,2,2,0.0,1,0,0,0,45,True,0,1,2022-2023
Ryan Fraser,MID,Newcastle,2.5,0,0,4,0,10.3,359,0.0,0.0,0.0,0.0,7,0,0,1.3,2.2,2022-08-06T14:00:00Z,9,16,0,0,0,0,1,0,14743,0,0,2,0.0,1,0,0,0,55,True,0,1,2022-2023
Luke Thomas,DEF,Leicester,1.9,0,0,0,0,0.0,270,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,8036,0,2,2,0.0,0,0,0,0,45,True,0,1,2022-2023
Karl Darlow,GK,Newcastle,1.5,0,0,0,0,0.0,353,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,16,0,0,0,0,1,0,236781,0,0,2,0.0,0,0,0,0,40,True,0,1,2022-2023
Rodrigo Hernandez,MID,Man City,3.2,0,0,18,1,5.8,315,0.0,0.0,0.0,0.0,10,0,0,2.3,16.0,2022-08-07T15:30:00Z,88,19,0,0,0,0,1,0,220268,0,2,0,1.0,3,0,0,0,60,False,0,1,2022-2023
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,4.1,0,0,3,0,11.5,326,0.0,0.0,0.0,0.0,9,0,0,3.6,4.6,2022-08-07T13:00:00Z,37,5,0,0,0,0,1,0,352984,0,2,1,20.0,1,0,0,0,105,True,0,1,2022-2023
Fraser Forster,GK,Spurs,1.5,0,0,0,0,0.0,426,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,17,0,0,0,0,1,0,525074,0,1,4,0.0,0,0,0,0,40,True,0,1,2022-2023
Alex Oxlade-Chamberlain,MID,Liverpool,0.0,0,0,0,0,0.0,278,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,1145,0,2,2,0.0,0,0,0,0,50,False,0,1,2022-2023
Jack Grealish,MID,Man City,3.4,0,0,19,1,29.2,305,0.0,0.0,0.0,0.0,10,0,0,5.0,7.2,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,327616,0,2,0,14.0,3,0,0,0,70,False,0,1,2022-2023
James McAtee,MID,Man City,0.0,0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2022-08-07T15:30:00Z,0,19,0,0,0,0,1,0,1259,0,2,0,0.0,0,0,0,0,45,False,0,1,2022-2023
Will Smallbone,MID,Southampton,0.0,0,0,0,0,0.0,415,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,18,0,0,0,0,1,0,2166,0,1,4,0.0,0,0,0,0,45,False,0,1,2022-2023
Chris Wood,FWD,Newcastle,2.3,0,0,2,0,0.0,354,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,1,16,0,0,0,0,1,0,137537,0,0,2,0.0,1,0,0,0,60,True,0,1,2022-2023
Darren Randolph,GK,West Ham,0.0,0,0,0,0,0.0,571,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2022-08-07T15:30:00Z,0,13,0,0,0,0,1,0,0,0,2,0,0.0,0,0,0,0,40,True,0,1,2022-2023
Leander Dendoncker,MID,Wolves,2.1,0,0,21,0,16.5,479,0.0,0.0,0.0,0.0,5,2,0,7.8,24.4,2022-08-06T14:00:00Z,90,11,0,0,0,0,1,0,13096,0,1,2,37.0,2,0,0,0,50,False,0,1,2022-2023
Allan Marques Loureiro,MID,Everton,1.1,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2022-08-06T16:30:00Z,0,6,0,0,0,0,1,0,11086,0,1,0,0.0,0,0,0,0,50,True,0,1,2022-2023
Ibrahima Konaté,DEF,Liverpool,0.0,0,0,0,0,0.0,290,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,57031,0,2,2,0.0,0,0,0,0,50,False,0,1,2022-2023
Aleksandar Mitrović,FWD,Fulham,0.6,0,3,57,0,14.7,210,0.0,0.0,0.0,0.0,4,2,2,15.5,82.0,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,509091,0,2,2,58.0,13,0,0,0,65,True,0,1,2022-2023
Christian Eriksen,MID,Man Utd,2.8,0,0,17,0,42.5,519,0.0,0.0,0.0,0.0,9,2,0,10.5,28.6,2022-08-07T13:00:00Z,90,5,0,0,0,0,1,0,361793,0,2,1,34.0,2,0,0,0,65,True,0,1,2022-2023
Joe Willock,MID,Newcastle,2.1,0,0,6,1,14.4,373,0.0,0.0,0.0,0.0,7,0,0,8.1,14.0,2022-08-06T14:00:00Z,79,16,0,0,0,0,1,0,45439,0,0,2,53.0,3,0,0,0,50,True,0,1,2022-2023
Yerson Mosquera Valdelamar,DEF,Wolves,1.5,0,0,0,0,0.0,494,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,11,0,0,0,0,1,0,77448,0,1,2,0.0,0,0,0,0,40,False,0,1,2022-2023
Roméo Lavia,MID,Southampton,0.5,0,0,17,0,4.3,321,0.0,0.0,0.0,0.0,8,4,0,2.4,12.0,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,18407,0,1,4,8.0,2,0,0,0,45,False,0,1,2022-2023
Kristoffer Ajer,DEF,Brentford,0.0,0,0,0,0,0.0,84,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,10,0,0,0,0,1,0,2520,0,2,2,0.0,0,0,0,0,45,False,0,1,2022-2023
Will Hughes,MID,Crystal Palace,1.1,0,0,2,0,0.3,163,0.0,0.0,0.0,0.0,1,0,0,0.4,0.0,2022-08-05T19:00:00Z,4,1,0,0,0,0,1,0,2729,0,2,0,4.0,1,0,0,0,50,True,0,1,2022-2023
Joe Ayodele-Aribo,MID,Southampton,1.5,0,0,5,0,5.2,512,0.0,0.0,0.0,0.0,8,4,0,3.8,9.4,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,50924,0,1,4,23.0,2,0,0,0,55,False,0,1,2022-2023
Orel Mangala,MID,Nott'm Forest,1.1,0,0,3,0,0.2,536,0.0,0.0,0.0,0.0,7,1,0,0.3,2.6,2022-08-06T14:00:00Z,15,15,0,0,0,0,1,0,3088,0,0,2,0.0,1,0,0,0,50,False,0,1,2022-2023
Luke Plange,FWD,Crystal Palace,0.5,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,124669,0,2,0,0.0,0,0,0,0,45,True,0,1,2022-2023
Cristian Romero,DEF,Spurs,2.8,0,0,11,0,2.7,443,0.0,0.0,0.0,0.0,8,1,0,2.4,8.0,2022-08-06T14:00:00Z,90,17,0,0,0,0,1,0,200747,0,1,4,13.0,2,0,0,0,50,True,0,1,2022-2023
Jack Harrison,MID,Leeds,1.7,1,2,25,0,78.8,233,0.0,0.0,0.0,0.0,5,1,0,12.4,34.8,2022-08-06T14:00:00Z,90,20,0,0,0,0,1,0,79451,0,1,2,10.0,6,0,0,0,60,True,1,1,2022-2023
Luis Sinisterra Lucumí,MID,Leeds,0.0,0,0,0,0,0.0,508,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,20,0,0,0,0,1,0,17295,0,1,2,0.0,0,0,0,0,65,True,0,1,2022-2023
Nathaniel Clyne,DEF,Crystal Palace,1.4,0,0,9,0,14.1,157,0.0,0.0,0.0,0.0,1,2,0,2.3,8.4,2022-08-05T19:00:00Z,90,1,0,0,0,0,1,0,11649,0,2,0,0.0,0,0,0,0,45,True,1,1,2022-2023
Stuart Armstrong,MID,Southampton,1.1,0,0,0,0,2.6,405,0.0,0.0,0.0,0.0,8,2,0,0.6,3.4,2022-08-06T14:00:00Z,45,18,0,0,0,0,1,0,9352,0,1,4,0.0,1,0,0,0,50,False,0,1,2022-2023
Oriol Romeu Vidal,MID,Southampton,1.1,0,0,9,0,3.8,402,0.0,0.0,0.0,0.0,8,4,0,1.2,6.2,2022-08-06T14:00:00Z,74,18,0,0,0,0,1,0,10319,0,1,4,2.0,2,0,0,0,50,False,0,1,2022-2023
Tyler Roberts,MID,Leeds,0.0,0,0,0,0,0.0,229,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,20,0,0,0,0,1,0,101,0,1,2,0.0,0,0,0,0,50,True,0,1,2022-2023
Harrison Ashby,DEF,West Ham,0.0,0,0,0,0,0.0,555,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2022-08-07T15:30:00Z,0,13,0,0,0,0,1,0,13517,0,2,0,0.0,0,0,0,0,40,True,0,1,2022-2023
Lewis Brunt,DEF,Leicester,1.0,0,0,0,0,0.0,273,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,23323,0,2,2,0.0,0,0,0,0,40,True,0,1,2022-2023
Matt Ritchie,DEF,Newcastle,2.4,0,0,0,0,0.0,350,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,16,0,0,0,0,1,0,8772,0,0,2,0.0,0,0,0,0,45,True,0,1,2022-2023
Jannik Vestergaard,DEF,Leicester,1.0,0,0,0,0,0.0,253,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,799742,0,2,2,0.0,0,0,0,0,40,True,0,1,2022-2023
Enock Mwepu,MID,Brighton,1.5,0,0,5,0,11.8,118,0.0,0.0,0.0,0.0,9,0,0,2.1,9.2,2022-08-07T13:00:00Z,14,14,0,0,0,0,1,0,10644,0,2,1,0.0,1,0,0,0,55,False,0,1,2022-2023
Trevoh Chalobah,DEF,Chelsea,2.8,0,0,0,0,0.0,141,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2022-08-06T16:30:00Z,0,8,0,0,0,0,1,0,55821,0,1,0,0.0,0,0,0,0,50,False,0,1,2022-2023
Chris Richards,DEF,Crystal Palace,1.4,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,5048,0,2,0,0.0,0,0,0,0,45,True,0,1,2022-2023
Diogo Teixeira da Silva,FWD,Liverpool,0.0,0,0,0,0,0.0,288,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,55789,0,2,2,0.0,0,0,0,0,90,False,0,1,2022-2023
Martin Dubravka,GK,Newcastle,2.7,0,0,0,0,0.0,355,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,16,0,0,0,0,1,0,97650,0,0,2,0.0,0,0,0,0,45,True,0,1,2022-2023
Rodrigo Moreno,MID,Leeds,1.7,0,0,23,0,1.1,225,0.0,0.0,0.0,0.0,5,1,1,6.5,34.8,2022-08-06T14:00:00Z,64,20,0,0,0,0,1,0,73866,0,1,2,29.0,7,0,0,0,60,True,0,1,2022-2023
Francisco Jorge Tomás Oliveira,MID,Wolves,0.0,0,0,0,0,0.0,490,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,11,0,0,0,0,1,0,309,0,1,2,0.0,0,0,0,0,50,False,0,1,2022-2023
Mohammed Salisu,DEF,Southampton,1.4,0,0,7,0,17.0,420,0.0,0.0,0.0,0.0,8,4,0,3.9,16.0,2022-08-06T14:00:00Z,90,18,1,0,0,0,1,0,14247,0,1,4,6.0,-2,0,0,0,45,False,0,1,2022-2023
Frederico Rodrigues de Paula Santos,MID,Man Utd,2.5,0,0,6,0,3.1,331,0.0,0.0,0.0,0.0,9,2,0,0.5,1.0,2022-08-07T13:00:00Z,52,5,0,0,0,0,1,0,83919,0,2,1,1.0,1,0,0,0,55,True,0,1,2022-2023
Jakub Moder,MID,Brighton,0.0,0,0,0,0,0.0,117,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,14,0,0,0,0,1,0,3484,0,2,1,0.0,0,0,0,0,45,False,0,1,2022-2023
Jean-Philippe Mateta,FWD,Crystal Palace,1.0,0,0,2,0,11.2,168,0.0,0.0,0.0,0.0,1,1,0,2.0,0.0,2022-08-05T19:00:00Z,32,1,0,0,0,0,1,0,67462,0,2,0,10.0,1,0,0,0,55,True,0,1,2022-2023
Salomón Rondón,FWD,Everton,0.0,0,0,0,0,0.0,177,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2022-08-06T16:30:00Z,0,6,0,0,0,0,1,0,15143,0,1,0,0.0,0,0,0,0,50,True,0,1,2022-2023
Liam Cooper,DEF,Leeds,0.0,0,0,0,0,0.0,221,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,20,0,0,0,0,1,0,6072,0,1,2,0.0,0,0,0,0,45,True,0,1,2022-2023
Erling Haaland,FWD,Man City,5.0,0,3,48,1,4.8,318,0.0,0.0,0.0,0.0,10,0,2,14.0,62.6,2022-08-07T15:30:00Z,77,19,0,0,0,0,1,0,3398599,0,2,0,73.0,13,0,0,0,115,False,0,1,2022-2023
Lewis Cook,MID,Bournemouth,1.1,0,0,4,0,0.3,67,0.0,0.0,0.0,0.0,2,0,0,0.8,7.2,2022-08-06T14:00:00Z,18,2,0,0,0,0,1,0,4802,0,0,2,0.0,1,0,0,0,50,True,0,1,2022-2023
Remi Matthews,GK,Crystal Palace,0.0,0,0,0,0,0.0,495,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,4672,0,2,0,0.0,0,0,0,0,40,True,0,1,2022-2023
Phil Foden,MID,Man City,3.7,0,0,19,1,30.4,314,0.0,0.0,0.0,0.0,10,0,0,5.1,10.8,2022-08-07T15:30:00Z,87,19,0,0,0,0,1,0,482845,0,2,0,10.0,3,0,0,0,80,False,0,1,2022-2023
Calvin Ramsay,DEF,Liverpool,2.5,0,0,0,0,0.0,298,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,19927,0,2,2,0.0,0,0,0,0,40,False,0,1,2022-2023
Steve Cook,DEF,Nott'm Forest,1.4,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,14958,0,0,2,0.0,0,0,0,0,45,False,0,1,2022-2023
Ryan Bertrand,DEF,Leicester,0.0,0,0,0,0,0.0,250,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,3217,0,2,2,0.0,0,0,0,0,40,True,0,1,2022-2023
Sékou Mara,FWD,Southampton,1.0,0,0,0,0,0.0,528,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,18,0,0,0,0,1,0,7535,0,1,4,0.0,0,0,0,0,55,False,0,1,2022-2023
Scott McTominay,MID,Man Utd,2.1,0,0,1,0,2.1,338,0.0,0.0,0.0,0.0,9,2,0,2.7,0.0,2022-08-07T13:00:00Z,77,5,0,0,0,0,1,0,22964,0,2,1,26.0,1,0,0,0,50,True,1,1,2022-2023
Xande Nascimento da Costa Silva,MID,Nott'm Forest,0.0,0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,1985,0,0,2,0.0,0,0,0,0,50,False,0,1,2022-2023
Dean Henderson,GK,Nott'm Forest,1.7,0,0,26,0,0.0,398,0.0,0.0,0.0,0.0,7,2,0,4.8,48.0,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,7,434219,0,0,2,0.0,3,0,0,0,45,False,0,1,2022-2023
Jack Stacey,DEF,Bournemouth,1.4,0,0,0,0,0.0,65,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,2,0,0,0,0,1,0,4613,0,0,2,0.0,0,0,0,0,45,True,0,1,2022-2023
Mason Holgate,DEF,Everton,1.4,0,0,9,0,0.5,192,0.0,0.0,0.0,0.0,3,1,0,4.8,27.0,2022-08-06T16:30:00Z,72,6,0,0,0,0,1,0,10243,0,1,0,20.0,1,0,0,0,45,True,1,1,2022-2023
Steven Alzate,MID,Brighton,0.5,0,0,0,0,0.0,115,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,14,0,0,0,0,1,0,17451,0,2,1,0.0,0,0,0,0,45,False,0,1,2022-2023
Mateusz Klich,MID,Leeds,1.1,0,0,2,0,5.3,223,0.0,0.0,0.0,0.0,5,0,0,1.1,1.4,2022-08-06T14:00:00Z,25,20,0,0,0,0,1,0,10219,0,1,2,4.0,1,0,0,0,50,True,0,1,2022-2023
Armel Bella-Kotchap,DEF,Southampton,1.4,0,0,0,0,0.0,423,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,18,0,0,0,0,1,0,5917,0,1,4,0.0,0,0,0,0,45,False,0,1,2022-2023
Ainsley Maitland-Niles,MID,Arsenal,2.1,0,0,0,0,0.0,21,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,7,0,0,0,0,1,0,4894,0,2,0,0.0,0,0,0,0,50,False,0,1,2022-2023
James Milner,MID,Liverpool,2.5,0,0,1,0,4.7,274,0.0,0.0,0.0,0.0,4,1,0,1.6,3.2,2022-08-06T11:30:00Z,31,9,0,0,0,0,1,0,62173,0,2,2,8.0,1,0,0,0,45,False,0,1,2022-2023
Keane Lewis-Potter,MID,Brentford,2.0,0,0,3,0,0.2,515,0.0,0.0,0.0,0.0,6,0,0,0.7,5.2,2022-08-07T13:00:00Z,31,10,0,0,0,0,1,0,9624,0,2,2,2.0,1,0,0,0,55,False,0,1,2022-2023
Kevin De Bruyne,MID,Man City,4.7,1,0,24,1,43.0,301,0.0,0.0,0.0,0.0,10,0,0,8.7,24.4,2022-08-07T15:30:00Z,87,19,0,0,0,0,1,0,1151254,0,2,0,20.0,6,0,0,0,120,False,0,1,2022-2023
Sepp van den Berg,DEF,Liverpool,2.5,0,0,0,0,0.0,500,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,19524,0,2,2,0.0,0,0,0,0,40,False,0,1,2022-2023
Joe Gelhardt,FWD,Leeds,1.0,0,0,2,0,0.3,242,0.0,0.0,0.0,0.0,5,0,0,0.1,0.2,2022-08-06T14:00:00Z,6,20,0,0,0,0,1,0,57638,0,1,2,0.0,1,0,0,0,55,True,0,1,2022-2023
Diego Carlos Santos Silva,DEF,Aston Villa,2.8,0,0,8,0,1.5,50,0.0,0.0,0.0,0.0,2,2,0,1.4,9.2,2022-08-06T14:00:00Z,90,3,0,0,0,0,1,0,92038,0,0,2,3.0,1,0,0,0,50,False,0,1,2022-2023
Lucas Rodrigues Moura da Silva,MID,Spurs,2.7,0,0,5,0,0.0,431,0.0,0.0,0.0,0.0,8,0,0,0.2,2.0,2022-08-06T14:00:00Z,4,17,0,0,0,0,1,0,28944,0,1,4,0.0,1,0,0,0,60,True,0,1,2022-2023
Ben Mee,DEF,Brentford,1.9,0,0,9,0,1.4,526,0.0,0.0,0.0,0.0,6,2,0,0.9,7.8,2022-08-07T13:00:00Z,58,10,0,0,0,0,1,0,26294,0,2,2,0.0,0,0,0,0,45,False,0,1,2022-2023
Marcus Oliveira Alencar,MID,Arsenal,2.1,0,0,0,0,0.0,27,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,7,0,0,0,0,1,0,8331,0,2,0,0.0,0,0,0,0,50,False,0,1,2022-2023
Daniel James,MID,Leeds,0.0,0,0,0,0,0.0,231,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,20,0,0,0,0,1,0,1667,0,1,2,0.0,0,0,0,0,60,True,0,1,2022-2023
João Cancelo,DEF,Man City,4.7,0,2,27,1,18.9,306,0.0,0.0,0.0,0.0,10,0,0,3.9,15.4,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,3569038,0,2,0,5.0,7,0,0,0,70,False,1,1,2022-2023
Bruno Borges Fernandes,MID,Man Utd,3.7,0,0,14,0,35.0,333,0.0,0.0,0.0,0.0,9,2,0,5.4,10.8,2022-08-07T13:00:00Z,89,5,0,0,0,0,1,0,266667,0,2,1,8.0,2,0,0,0,100,True,0,1,2022-2023
